name,description,category,price,inventory,status
Back To School Footwear Trail Runner,Dummy import product 1 for the Footwear category in the Back To School workbook.,Footwear,29.99,12,Active
Back To School Footwear Court Sneaker,Dummy import product 2 for the Footwear category in the Back To School workbook.,Footwear,30.99,13,Active
Back To School Footwear Daily Walker,Dummy import product 3 for the Footwear category in the Back To School workbook.,Footwear,31.99,14,Low Stock
Back To School Footwear Kids Slip-On,Dummy import product 4 for the Footwear category in the Back To School workbook.,Footwear,32.99,15,Draft
Back To School Footwear Studio Trainer,Dummy import product 5 for the Footwear category in the Back To School workbook.,Footwear,33.99,16,Active
Back To School Footwear Commuter Loafer,Dummy import product 6 for the Footwear category in the Back To School workbook.,Footwear,34.99,17,Active
Back To School Footwear Weekend Sandal,Dummy import product 7 for the Footwear category in the Back To School workbook.,Footwear,35.99,18,Low Stock
Back To School Footwear Performance Cleat,Dummy import product 8 for the Footwear category in the Back To School workbook.,Footwear,36.99,19,Draft
Back To School Footwear Weather Boot,Dummy import product 9 for the Footwear category in the Back To School workbook.,Footwear,37.99,20,Active
Back To School Footwear Recovery Slide,Dummy import product 10 for the Footwear category in the Back To School workbook.,Footwear,38.99,21,Active
Back To School Apparel Everyday Tee,Dummy import product 1 for the Apparel category in the Back To School workbook.,Apparel,29.99,12,Active
Back To School Apparel Performance Hoodie,Dummy import product 2 for the Apparel category in the Back To School workbook.,Apparel,30.99,13,Active
Back To School Apparel Stretch Jogger,Dummy import product 3 for the Apparel category in the Back To School workbook.,Apparel,31.99,14,Low Stock
Back To School Apparel Thermal Henley,Dummy import product 4 for the Apparel category in the Back To School workbook.,Apparel,32.99,15,Draft
Back To School Apparel Rain Shell,Dummy import product 5 for the Apparel category in the Back To School workbook.,Apparel,33.99,16,Active
Back To School Apparel Yoga Tank,Dummy import product 6 for the Apparel category in the Back To School workbook.,Apparel,34.99,17,Active
Back To School Apparel Fleece Quarter Zip,Dummy import product 7 for the Apparel category in the Back To School workbook.,Apparel,35.99,18,Low Stock
Back To School Apparel Kids Graphic Tee,Dummy import product 8 for the Apparel category in the Back To School workbook.,Apparel,36.99,19,Draft
Back To School Apparel Lounge Short,Dummy import product 9 for the Apparel category in the Back To School workbook.,Apparel,37.99,20,Active
Back To School Apparel Travel Polo,Dummy import product 10 for the Apparel category in the Back To School workbook.,Apparel,38.99,21,Active
Back To School Electronics Bluetooth Earbuds,Dummy import product 1 for the Electronics category in the Back To School workbook.,Electronics,29.99,12,Active
Back To School Electronics Smart Speaker,Dummy import product 2 for the Electronics category in the Back To School workbook.,Electronics,30.99,13,Active
Back To School Electronics Fitness Tracker,Dummy import product 3 for the Electronics category in the Back To School workbook.,Electronics,31.99,14,Low Stock
Back To School Electronics Portable Charger,Dummy import product 4 for the Electronics category in the Back To School workbook.,Electronics,32.99,15,Draft
Back To School Electronics LED Desk Lamp,Dummy import product 5 for the Electronics category in the Back To School workbook.,Electronics,33.99,16,Active
Back To School Electronics Streaming Stick,Dummy import product 6 for the Electronics category in the Back To School workbook.,Electronics,34.99,17,Active
Back To School Electronics Noise Cancel Headset,Dummy import product 7 for the Electronics category in the Back To School workbook.,Electronics,35.99,18,Low Stock
Back To School Electronics Action Camera,Dummy import product 8 for the Electronics category in the Back To School workbook.,Electronics,36.99,19,Draft
Back To School Electronics Wireless Keyboard,Dummy import product 9 for the Electronics category in the Back To School workbook.,Electronics,37.99,20,Active
Back To School Electronics 4K Monitor,Dummy import product 10 for the Electronics category in the Back To School workbook.,Electronics,38.99,21,Active
Back To School Accessories Travel Backpack,Dummy import product 1 for the Accessories category in the Back To School workbook.,Accessories,29.99,12,Active
Back To School Accessories Insulated Bottle,Dummy import product 2 for the Accessories category in the Back To School workbook.,Accessories,30.99,13,Active
Back To School Accessories Weekend Tote,Dummy import product 3 for the Accessories category in the Back To School workbook.,Accessories,31.99,14,Low Stock
Back To School Accessories Phone Wallet,Dummy import product 4 for the Accessories category in the Back To School workbook.,Accessories,32.99,15,Draft
Back To School Accessories Polarized Sunglasses,Dummy import product 5 for the Accessories category in the Back To School workbook.,Accessories,33.99,16,Active
Back To School Accessories Canvas Belt,Dummy import product 6 for the Accessories category in the Back To School workbook.,Accessories,34.99,17,Active
Back To School Accessories Laptop Sleeve,Dummy import product 7 for the Accessories category in the Back To School workbook.,Accessories,35.99,18,Low Stock
Back To School Accessories Packing Cubes,Dummy import product 8 for the Accessories category in the Back To School workbook.,Accessories,36.99,19,Draft
Back To School Accessories Compact Umbrella,Dummy import product 9 for the Accessories category in the Back To School workbook.,Accessories,37.99,20,Active
Back To School Accessories Baseball Cap,Dummy import product 10 for the Accessories category in the Back To School workbook.,Accessories,38.99,21,Active
Back To School Fitness Yoga Mat,Dummy import product 1 for the Fitness category in the Back To School workbook.,Fitness,29.99,12,Active
Back To School Fitness Resistance Band Set,Dummy import product 2 for the Fitness category in the Back To School workbook.,Fitness,30.99,13,Active
Back To School Fitness Foam Roller,Dummy import product 3 for the Fitness category in the Back To School workbook.,Fitness,31.99,14,Low Stock
Back To School Fitness Adjustable Dumbbell,Dummy import product 4 for the Fitness category in the Back To School workbook.,Fitness,32.99,15,Draft
Back To School Fitness Recovery Ball,Dummy import product 5 for the Fitness category in the Back To School workbook.,Fitness,33.99,16,Active
Back To School Fitness Jump Rope,Dummy import product 6 for the Fitness category in the Back To School workbook.,Fitness,34.99,17,Active
Back To School Fitness Core Slider,Dummy import product 7 for the Fitness category in the Back To School workbook.,Fitness,35.99,18,Low Stock
Back To School Fitness Exercise Bike Mat,Dummy import product 8 for the Fitness category in the Back To School workbook.,Fitness,36.99,19,Draft
Back To School Fitness Hydration Vest,Dummy import product 9 for the Fitness category in the Back To School workbook.,Fitness,37.99,20,Active
Back To School Fitness Mini Stepper,Dummy import product 10 for the Fitness category in the Back To School workbook.,Fitness,38.99,21,Active
