name,description,category,price,inventory,status
Spring Launch Footwear Trail Runner,Dummy import product 1 for the Footwear category in the Spring Launch workbook.,Footwear,23.99,10,Low Stock
Spring Launch Footwear Court Sneaker,Dummy import product 2 for the Footwear category in the Spring Launch workbook.,Footwear,24.99,11,Draft
Spring Launch Footwear Daily Walker,Dummy import product 3 for the Footwear category in the Spring Launch workbook.,Footwear,25.99,12,Active
Spring Launch Footwear Kids Slip-On,Dummy import product 4 for the Footwear category in the Spring Launch workbook.,Footwear,26.99,13,Active
Spring Launch Footwear Studio Trainer,Dummy import product 5 for the Footwear category in the Spring Launch workbook.,Footwear,27.99,14,Low Stock
Spring Launch Footwear Commuter Loafer,Dummy import product 6 for the Footwear category in the Spring Launch workbook.,Footwear,28.99,15,Draft
Spring Launch Footwear Weekend Sandal,Dummy import product 7 for the Footwear category in the Spring Launch workbook.,Footwear,29.99,16,Active
Spring Launch Footwear Performance Cleat,Dummy import product 8 for the Footwear category in the Spring Launch workbook.,Footwear,30.99,17,Active
Spring Launch Footwear Weather Boot,Dummy import product 9 for the Footwear category in the Spring Launch workbook.,Footwear,31.99,18,Low Stock
Spring Launch Footwear Recovery Slide,Dummy import product 10 for the Footwear category in the Spring Launch workbook.,Footwear,32.99,19,Draft
Spring Launch Apparel Everyday Tee,Dummy import product 1 for the Apparel category in the Spring Launch workbook.,Apparel,23.99,10,Low Stock
Spring Launch Apparel Performance Hoodie,Dummy import product 2 for the Apparel category in the Spring Launch workbook.,Apparel,24.99,11,Draft
Spring Launch Apparel Stretch Jogger,Dummy import product 3 for the Apparel category in the Spring Launch workbook.,Apparel,25.99,12,Active
Spring Launch Apparel Thermal Henley,Dummy import product 4 for the Apparel category in the Spring Launch workbook.,Apparel,26.99,13,Active
Spring Launch Apparel Rain Shell,Dummy import product 5 for the Apparel category in the Spring Launch workbook.,Apparel,27.99,14,Low Stock
Spring Launch Apparel Yoga Tank,Dummy import product 6 for the Apparel category in the Spring Launch workbook.,Apparel,28.99,15,Draft
Spring Launch Apparel Fleece Quarter Zip,Dummy import product 7 for the Apparel category in the Spring Launch workbook.,Apparel,29.99,16,Active
Spring Launch Apparel Kids Graphic Tee,Dummy import product 8 for the Apparel category in the Spring Launch workbook.,Apparel,30.99,17,Active
Spring Launch Apparel Lounge Short,Dummy import product 9 for the Apparel category in the Spring Launch workbook.,Apparel,31.99,18,Low Stock
Spring Launch Apparel Travel Polo,Dummy import product 10 for the Apparel category in the Spring Launch workbook.,Apparel,32.99,19,Draft
Spring Launch Electronics Bluetooth Earbuds,Dummy import product 1 for the Electronics category in the Spring Launch workbook.,Electronics,23.99,10,Low Stock
Spring Launch Electronics Smart Speaker,Dummy import product 2 for the Electronics category in the Spring Launch workbook.,Electronics,24.99,11,Draft
