name,description,category,price,inventory,status
Summer Savings Footwear Trail Runner,Dummy import product 1 for the Footwear category in the Summer Savings workbook.,Footwear,26.99,11,Draft
Summer Savings Footwear Court Sneaker,Dummy import product 2 for the Footwear category in the Summer Savings workbook.,Footwear,27.99,12,Active
Summer Savings Footwear Daily Walker,Dummy import product 3 for the Footwear category in the Summer Savings workbook.,Footwear,28.99,13,Active
Summer Savings Footwear Kids Slip-On,Dummy import product 4 for the Footwear category in the Summer Savings workbook.,Footwear,29.99,14,Low Stock
Summer Savings Footwear Studio Trainer,Dummy import product 5 for the Footwear category in the Summer Savings workbook.,Footwear,30.99,15,Draft
Summer Savings Footwear Commuter Loafer,Dummy import product 6 for the Footwear category in the Summer Savings workbook.,Footwear,31.99,16,Active
Summer Savings Footwear Weekend Sandal,Dummy import product 7 for the Footwear category in the Summer Savings workbook.,Footwear,32.99,17,Active
Summer Savings Footwear Performance Cleat,Dummy import product 8 for the Footwear category in the Summer Savings workbook.,Footwear,33.99,18,Low Stock
Summer Savings Footwear Weather Boot,Dummy import product 9 for the Footwear category in the Summer Savings workbook.,Footwear,34.99,19,Draft
Summer Savings Footwear Recovery Slide,Dummy import product 10 for the Footwear category in the Summer Savings workbook.,Footwear,35.99,20,Active
Summer Savings Apparel Everyday Tee,Dummy import product 1 for the Apparel category in the Summer Savings workbook.,Apparel,26.99,11,Draft
Summer Savings Apparel Performance Hoodie,Dummy import product 2 for the Apparel category in the Summer Savings workbook.,Apparel,27.99,12,Active
Summer Savings Apparel Stretch Jogger,Dummy import product 3 for the Apparel category in the Summer Savings workbook.,Apparel,28.99,13,Active
Summer Savings Apparel Thermal Henley,Dummy import product 4 for the Apparel category in the Summer Savings workbook.,Apparel,29.99,14,Low Stock
Summer Savings Apparel Rain Shell,Dummy import product 5 for the Apparel category in the Summer Savings workbook.,Apparel,30.99,15,Draft
Summer Savings Apparel Yoga Tank,Dummy import product 6 for the Apparel category in the Summer Savings workbook.,Apparel,31.99,16,Active
Summer Savings Apparel Fleece Quarter Zip,Dummy import product 7 for the Apparel category in the Summer Savings workbook.,Apparel,32.99,17,Active
Summer Savings Apparel Kids Graphic Tee,Dummy import product 8 for the Apparel category in the Summer Savings workbook.,Apparel,33.99,18,Low Stock
Summer Savings Apparel Lounge Short,Dummy import product 9 for the Apparel category in the Summer Savings workbook.,Apparel,34.99,19,Draft
Summer Savings Apparel Travel Polo,Dummy import product 10 for the Apparel category in the Summer Savings workbook.,Apparel,35.99,20,Active
Summer Savings Electronics Bluetooth Earbuds,Dummy import product 1 for the Electronics category in the Summer Savings workbook.,Electronics,26.99,11,Draft
