name,description,category,price,inventory,status
Weekend Refresh Footwear Trail Runner,Dummy import product 1 for the Footwear category in the Weekend Refresh workbook.,Footwear,35.99,14,Low Stock
Weekend Refresh Footwear Court Sneaker,Dummy import product 2 for the Footwear category in the Weekend Refresh workbook.,Footwear,36.99,15,Draft
Weekend Refresh Footwear Daily Walker,Dummy import product 3 for the Footwear category in the Weekend Refresh workbook.,Footwear,37.99,16,Active
Weekend Refresh Footwear Kids Slip-On,Dummy import product 4 for the Footwear category in the Weekend Refresh workbook.,Footwear,38.99,17,Active
Weekend Refresh Footwear Studio Trainer,Dummy import product 5 for the Footwear category in the Weekend Refresh workbook.,Footwear,39.99,18,Low Stock
Weekend Refresh Footwear Commuter Loafer,Dummy import product 6 for the Footwear category in the Weekend Refresh workbook.,Footwear,40.99,19,Draft
Weekend Refresh Footwear Weekend Sandal,Dummy import product 7 for the Footwear category in the Weekend Refresh workbook.,Footwear,41.99,20,Active
Weekend Refresh Footwear Performance Cleat,Dummy import product 8 for the Footwear category in the Weekend Refresh workbook.,Footwear,42.99,21,Active
Weekend Refresh Footwear Weather Boot,Dummy import product 9 for the Footwear category in the Weekend Refresh workbook.,Footwear,43.99,22,Low Stock
Weekend Refresh Footwear Recovery Slide,Dummy import product 10 for the Footwear category in the Weekend Refresh workbook.,Footwear,44.99,23,Draft
Weekend Refresh Apparel Everyday Tee,Dummy import product 1 for the Apparel category in the Weekend Refresh workbook.,Apparel,35.99,14,Low Stock
Weekend Refresh Apparel Performance Hoodie,Dummy import product 2 for the Apparel category in the Weekend Refresh workbook.,Apparel,36.99,15,Draft
Weekend Refresh Apparel Stretch Jogger,Dummy import product 3 for the Apparel category in the Weekend Refresh workbook.,Apparel,37.99,16,Active
Weekend Refresh Apparel Thermal Henley,Dummy import product 4 for the Apparel category in the Weekend Refresh workbook.,Apparel,38.99,17,Active
Weekend Refresh Apparel Rain Shell,Dummy import product 5 for the Apparel category in the Weekend Refresh workbook.,Apparel,39.99,18,Low Stock
Weekend Refresh Apparel Yoga Tank,Dummy import product 6 for the Apparel category in the Weekend Refresh workbook.,Apparel,40.99,19,Draft
Weekend Refresh Apparel Fleece Quarter Zip,Dummy import product 7 for the Apparel category in the Weekend Refresh workbook.,Apparel,41.99,20,Active
Weekend Refresh Apparel Kids Graphic Tee,Dummy import product 8 for the Apparel category in the Weekend Refresh workbook.,Apparel,42.99,21,Active
Weekend Refresh Apparel Lounge Short,Dummy import product 9 for the Apparel category in the Weekend Refresh workbook.,Apparel,43.99,22,Low Stock
Weekend Refresh Apparel Travel Polo,Dummy import product 10 for the Apparel category in the Weekend Refresh workbook.,Apparel,44.99,23,Draft
Weekend Refresh Electronics Bluetooth Earbuds,Dummy import product 1 for the Electronics category in the Weekend Refresh workbook.,Electronics,35.99,14,Low Stock
Weekend Refresh Electronics Smart Speaker,Dummy import product 2 for the Electronics category in the Weekend Refresh workbook.,Electronics,36.99,15,Draft
Weekend Refresh Electronics Fitness Tracker,Dummy import product 3 for the Electronics category in the Weekend Refresh workbook.,Electronics,37.99,16,Active
Weekend Refresh Electronics Portable Charger,Dummy import product 4 for the Electronics category in the Weekend Refresh workbook.,Electronics,38.99,17,Active
Weekend Refresh Electronics LED Desk Lamp,Dummy import product 5 for the Electronics category in the Weekend Refresh workbook.,Electronics,39.99,18,Low Stock
Weekend Refresh Electronics Streaming Stick,Dummy import product 6 for the Electronics category in the Weekend Refresh workbook.,Electronics,40.99,19,Draft
Weekend Refresh Electronics Noise Cancel Headset,Dummy import product 7 for the Electronics category in the Weekend Refresh workbook.,Electronics,41.99,20,Active
Weekend Refresh Electronics Action Camera,Dummy import product 8 for the Electronics category in the Weekend Refresh workbook.,Electronics,42.99,21,Active
Weekend Refresh Electronics Wireless Keyboard,Dummy import product 9 for the Electronics category in the Weekend Refresh workbook.,Electronics,43.99,22,Low Stock
Weekend Refresh Electronics 4K Monitor,Dummy import product 10 for the Electronics category in the Weekend Refresh workbook.,Electronics,44.99,23,Draft
Weekend Refresh Accessories Travel Backpack,Dummy import product 1 for the Accessories category in the Weekend Refresh workbook.,Accessories,35.99,14,Low Stock
Weekend Refresh Accessories Insulated Bottle,Dummy import product 2 for the Accessories category in the Weekend Refresh workbook.,Accessories,36.99,15,Draft
Weekend Refresh Accessories Weekend Tote,Dummy import product 3 for the Accessories category in the Weekend Refresh workbook.,Accessories,37.99,16,Active
Weekend Refresh Accessories Phone Wallet,Dummy import product 4 for the Accessories category in the Weekend Refresh workbook.,Accessories,38.99,17,Active
Weekend Refresh Accessories Polarized Sunglasses,Dummy import product 5 for the Accessories category in the Weekend Refresh workbook.,Accessories,39.99,18,Low Stock
Weekend Refresh Accessories Canvas Belt,Dummy import product 6 for the Accessories category in the Weekend Refresh workbook.,Accessories,40.99,19,Draft
Weekend Refresh Accessories Laptop Sleeve,Dummy import product 7 for the Accessories category in the Weekend Refresh workbook.,Accessories,41.99,20,Active
Weekend Refresh Accessories Packing Cubes,Dummy import product 8 for the Accessories category in the Weekend Refresh workbook.,Accessories,42.99,21,Active
Weekend Refresh Accessories Compact Umbrella,Dummy import product 9 for the Accessories category in the Weekend Refresh workbook.,Accessories,43.99,22,Low Stock
Weekend Refresh Accessories Baseball Cap,Dummy import product 10 for the Accessories category in the Weekend Refresh workbook.,Accessories,44.99,23,Draft
Weekend Refresh Fitness Yoga Mat,Dummy import product 1 for the Fitness category in the Weekend Refresh workbook.,Fitness,35.99,14,Low Stock
Weekend Refresh Fitness Resistance Band Set,Dummy import product 2 for the Fitness category in the Weekend Refresh workbook.,Fitness,36.99,15,Draft
Weekend Refresh Fitness Foam Roller,Dummy import product 3 for the Fitness category in the Weekend Refresh workbook.,Fitness,37.99,16,Active
Weekend Refresh Fitness Adjustable Dumbbell,Dummy import product 4 for the Fitness category in the Weekend Refresh workbook.,Fitness,38.99,17,Active
Weekend Refresh Fitness Recovery Ball,Dummy import product 5 for the Fitness category in the Weekend Refresh workbook.,Fitness,39.99,18,Low Stock
Weekend Refresh Fitness Jump Rope,Dummy import product 6 for the Fitness category in the Weekend Refresh workbook.,Fitness,40.99,19,Draft
Weekend Refresh Fitness Core Slider,Dummy import product 7 for the Fitness category in the Weekend Refresh workbook.,Fitness,41.99,20,Active
Weekend Refresh Fitness Exercise Bike Mat,Dummy import product 8 for the Fitness category in the Weekend Refresh workbook.,Fitness,42.99,21,Active
Weekend Refresh Fitness Hydration Vest,Dummy import product 9 for the Fitness category in the Weekend Refresh workbook.,Fitness,43.99,22,Low Stock
Weekend Refresh Fitness Mini Stepper,Dummy import product 10 for the Fitness category in the Weekend Refresh workbook.,Fitness,44.99,23,Draft
